n_points,sklearn_time,optimized_time,speedup,sklearn_clusters,optimized_clusters,sklearn_noise_pct,optimized_noise_pct
10000,0.09515500068664551,0.21808981895446777,0.43631106276681225,7,0,14.32,100.0
50000,1.1738202571868896,3.765366315841675,0.3117413177699033,12,0,5.026,100.0
100000,4.939246892929077,17.081002473831177,0.289166101374683,19,0,3.367,100.0
